 ,Area,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
510,124.443,17.921,8.842,19.911,0.690,19.268,537,904,16.260,9.659,2.027,0.493,0.917
511,27.621,9.120,3.856,11.455,0.738,9.265,651,894,16.928,4.206,2.365,0.423,0.925
512,58.954,14.451,5.194,14.841,0.585,15.049,848,897,13.325,5.853,2.782,0.359,0.879
513,46.777,12.623,4.718,160.160,0.630,13.170,953,887,159.444,5.295,2.675,0.374,0.908
514,27.027,10.549,3.262,12.777,0.590,10.483,1058,895,17.103,3.552,3.234,0.309,0.897
515,37.867,8.973,5.373,19.596,0.811,9.408,1164,901,34.992,5.514,1.670,0.599,0.922
516,74.695,12.946,7.346,9.597,0.725,13.684,1258,903,9.728,8.673,1.762,0.567,0.898
517,153.548,18.772,10.414,37.921,0.767,19.987,1356,915,33.996,11.202,1.803,0.555,0.953
518,200.474,19.857,12.855,177.977,0.776,20.859,1455,892,154.855,12.851,1.545,0.647,0.961
519,31.927,11.128,3.653,34.957,0.623,11.255,1570,904,38.047,3.955,3.046,0.328,0.896
520,50.193,11.162,5.726,33.869,0.727,12.186,1671,904,34.695,6.306,1.949,0.513,0.931
521,49.450,9.831,6.404,9.541,0.850,10.004,1773,899,15.642,6.636,1.535,0.651,0.934
522,36.976,8.449,5.572,34.596,0.760,9.281,2085,902,41.634,6.463,1.516,0.660,0.909
523,62.518,12.184,6.533,29.144,0.730,12.599,2179,908,23.429,7.066,1.865,0.536,0.922
524,21.681,5.413,5.100,74.007,0.936,5.831,2297,885,97.595,5.010,1.061,0.942,0.921
525,18.117,6.712,3.437,62.171,0.790,7.074,2394,901,60.642,3.791,1.953,0.512,0.910
526,83.754,14.229,7.494,178.315,0.783,14.027,2483,889,164.055,7.322,1.899,0.527,0.948
527,10.395,5.011,2.641,178.248,0.770,5.141,2596,888,167.005,3.083,1.898,0.527,0.854
528,16.929,5.605,3.846,17.736,0.920,5.729,2698,893,19.654,4.007,1.457,0.686,0.912
529,113.157,20.749,6.944,21.722,0.596,21.470,2781,907,21.038,7.410,2.988,0.335,0.943
530,21.087,6.089,4.409,47.568,0.910,6.414,2902,896,32.735,4.692,1.381,0.724,0.916
531,25.690,8.307,3.938,38.892,0.703,8.660,3206,901,32.276,4.778,2.110,0.474,0.874
532,66.231,12.523,6.734,145.012,0.804,13.360,3303,888,146.768,7.085,1.860,0.538,0.949
533,39.649,8.671,5.822,142.185,0.877,8.872,3410,888,145.620,5.995,1.489,0.671,0.925
534,83.902,13.852,7.712,27.344,0.794,13.969,3505,903,24.444,8.053,1.796,0.557,0.940
535,111.078,14.811,9.549,178.197,0.748,16.299,744,901,173.211,10.575,1.551,0.645,0.930
536,13.810,5.621,3.128,22.028,0.844,6.032,1881,893,26.565,3.468,1.797,0.556,0.925
537,8.167,4.578,2.271,7.697,0.858,4.767,1984,891,14.036,2.312,2.016,0.496,0.902
538,36.828,8.333,5.627,90.454,0.810,8.963,3004,886,115.463,5.395,1.481,0.675,0.939
539,44.550,8.618,6.582,7.090,0.905,9.021,3102,897,19.983,6.551,1.309,0.764,0.957
540,50.044,11.485,5.548,18.400,0.762,11.902,36,1011,29.055,5.955,2.070,0.483,0.951
541,22.126,5.924,4.756,94.203,0.965,6.226,118,995,111.801,4.624,1.246,0.803,0.949
542,62.221,10.530,7.523,149.422,0.802,11.115,179,1002,146.310,8.206,1.400,0.714,0.921
543,81.823,20.511,5.079,174.220,0.489,20.482,237,1001,175.684,5.341,4.038,0.248,0.931
544,29.106,9.852,3.762,31.598,0.662,10.049,323,1010,32.471,4.108,2.619,0.382,0.893
545,30.442,7.797,4.971,16.977,0.902,8.102,396,1006,25.346,5.010,1.569,0.638,0.956
546,9.801,4.140,3.014,35.377,0.934,4.494,472,1002,30.964,3.270,1.373,0.728,0.917
547,22.423,7.352,3.883,5.737,0.758,7.860,538,1004,11.310,3.854,1.893,0.528,0.929
548,18.265,6.516,3.569,159.154,0.828,7.074,611,995,150.642,3.854,1.826,0.548,0.932
549,23.017,8.238,3.558,141.042,0.732,8.337,681,996,146.310,3.978,2.316,0.432,0.881
